Date (mm/dd/yyyy),Title,Notes,Link,Link2,Link3,,,
1/24/2025,Trump says he wants to overhaul FEMA as he travels to North Carolina and California,,https://www.npr.org/2025/01/24/nx-s1-5273606/trump-visit-asheville-california-disasters,,,,,
1/21/2025,Washington National Cathedral Bishop Calls Out Trump to His Face,,https://www.rollingstone.com/politics/politics-news/washington-national-cathedral-bishop-trump-1235242803/,,,,,
1/20/2025,Trump threatens 25 percent tariffs on Mexico and Canada starting Feb. 1 ,,https://thehill.com/homenews/administration/5097020-trump-threatens-25-percent-tariffs-on-mexico-and-canada-starting-feb-1/,https://www.latimes.com/business/story/2025-01-21/trump-says-25-tariffs-on-canada-and-mexico-coming-on-feb-1-as-he-signs-several-orders-on-economy,,,,
1/20/2025,inauguration notes - Did not fly flag a half staff despite Jimmy carter dying within last 30 days.,,,,,,,
1/20/2025,inauguration notes - Elon doing sieg heil (2x) and not getting booed,,https://www.youtube.com/watch?v=zzVEuvGreUg,https://www.youtube.com/watch?v=Cu3T06r1scQ,,,,
1/20/2025,inauguration notes - Trump does not put his hand on the bible while being sworn in,,https://www.youtube.com/watch?v=g14ts0KYa98&list=RDNSg14ts0KYa98&start_radio=1,,,,,
1/20/2025,"inauguration notes - Elon clearly on something, ketamine?",,https://www.tiktok.com/@hollyweirdtea/video/7462251068110490926?q=elon%20musk%20inaguration&t=1737662115443,https://www.tiktok.com/@anyaaa_ukr/video/7462358836637191455?q=elon%20musk%20inaguration&t=1737662115443,,,,
1/20/2025,inauguration notes - Donald Trump Jr. seen sniffing something out of camera and looking up with an overly exaggerated grin.,,https://www.tiktok.com/@chadterry888/video/7462391511515254059?q=don%20jr%20inaguration&t=1737662244995,,,,,
1/20/2025,inauguration notes - Melania and trump do an awkward 'air kiss',,https://www.tiktok.com/@nbcsouthflorida/video/7462042493991898398?q=melania%20inaguration&t=1737662291722,,,,,
1/20/2025,"inauguration notes - Several billionaires attended, their net worth amounted to over 1 trillion dollars, and they sat in the space typically reserved for governors.",,,,,,,
1/20/2025,inaugration notes - Trump admits he rigged the election,,https://www.tiktok.com/@darcynaro/video/7463570764642454806?q=Trump%20admits%20he%20rigged%20the%20election&t=1737778624873,,,,,
1/1/2025,"Tariffs - will impose a significant burden on tax payers, and not on other countries. He doesn’t understand what a tariff is. ",,,,,,,
11/18/2024,"Column: Trump’s worst Cabinet picks aren’t just unqualified, they’re part of a bigger power grab","Trump has made a number of unqualified picks for cabinet members;
RFK JR - health and human services - anti-vaccine activist for 
Matt Gaetz - Attorney General - Who has been under investigation for sexual misconduct with minors. Who has been said to brag about it on the house floor. He later dropped out of the running.
Peter Brian Hegseth - Defense Secretary - Television personality - also is a vet. Allegations of misconduct 
secretary of State - Marco Rubio
Interior - Doug Burgum
Energy - Chris Wright
Veterans Affairs - Doug Collins
Homeland Secuirty - Kristi Noem - 
Rep. Elise Stefanik for United Nations ambassador",https://www.latimes.com/world-nation/story/2024-11-18/column-trumps-outlandish-cabinet-picks-arent-just-unqualified-theyre-part-of-a-bigger-power-grab,,,,,
11/6/2024,Republicans Celebrate by Admitting They Can’t Wait for Project 2025,"Project 2025 is a political initiative published in April 2023 by the American conservative think tank The Heritage Foundation. Trump initially denied any relevance, only to put in places of in government authors of it. Day after election results came in, it was announced that is the plan all along.",https://www.rollingstone.com/politics/politics-news/republicans-celebrate-project-2025-trump-win-1235155322/,,,,,
11/5/2024,"Musk influencing voters in PA -  Elon Musk’s $1 million-a-day voter sweepstakes can proceed, a Pennsylvania judge says",,https://apnews.com/article/musk-million-sweepstakes-lottery-pennsylvania-krasner-4f683c48eb7dcc57f183e54ef16e7320,,,,,
11/4/2024,No more fluoride in the water? RFK Jr. wants that and Trump says it 'sounds OK',,https://www.npr.org/sections/shots-health-news/2024/11/04/nx-s1-5178706/fluoride-drinking-water-rfk-jr-trump-conspiracy,,,,,
10/7/2024,Elon Musk Says He Might Get Thrown in Jail If Trump Doesn’t Win ,Was on Tucker Carleson's web video show,https://gizmodo.com/elon-musk-says-he-might-get-thrown-in-jail-if-trump-doesnt-win-2000508695,,,,,
